ncessch,test_score,learn_rate,urbanicity,level,perecd,high_ecd
60369000341,-1.050730084071457,1.271385014818737,Suburb,Elementary,0.8478232998290978,1
60369000342,-0.8619126809918871,1.137081871635154,Suburb,Elementary,0.83104276075446,1
60369010233,0.1547472688800546,1.213306659126268,Suburb,Elementary,0.712012637503539,1
60372000343,1.728532453312039,1.62795532936627,Rural,Elementary,0.0220253070111037,0
60375000344,-0.5328108800914491,1.066613574946879,Rural,Elementary,0.6760768227974442,1
60378000346,-1.651077948767478,0.7027909110001392,Rural,Elementary,0.7349546710716635,1
60387000354,-1.615766616069332,1.070636425441324,Rural,Elementary,0.6260434657879718,1
60402000357,-1.560845328102318,0.4036402068208125,Town,Elementary,0.7612891157405471,1
60402000359,-2.738363623769509,0.7413486398574609,Town,Elementary,0.8693182929584418,1
60402000360,-0.6464943810466908,1.225447161693641,Town,Elementary,0.6343613469533608,1
60402000361,-0.3203745120492414,0.8753757177281565,Rural,Elementary,0.6974587059222646,1
60402000363,-1.890864163288213,0.6843273767480563,Town,Elementary,0.8655985841669941,1
60402000364,-1.935448651618713,0.8591269173114425,Town,Elementary,0.7902125174365542,1
60402000365,0.3324726172449566,1.327654409795773,Town,Elementary,0.6705643341051181,1
60402000366,-1.616801957500926,1.024086462773412,Town,Elementary,0.8905241356133651,1
60408009306,-0.7334625715557754,1.147165708702842,Town,Elementary,0.598916407175013,1
60408010250,-0.4208895874015095,1.219629337127885,Rural,Elementary,0.4577595243812898,0
60411000372,-0.9065199582065704,1.076774665577898,Suburb,Elementary,0.844540371534283,1
60411000376,-1.769049042545718,0.8553063771189235,Suburb,Elementary,0.8986115197126154,1
60411000377,-1.286806063135797,1.200261645276349,Suburb,Middle,0.9084659859491991,1
60411000378,-1.829322640169497,0.9025628854422856,Suburb,Elementary,0.9228141520656381,1
60411007263,-1.149858951579709,1.111044726362839,Suburb,Elementary,0.9292063722802499,1
60420000380,-1.796177174425943,1.176274782365448,Suburb,Middle,0.7482659512794362,1
60423000384,-0.9483887873590584,1.223432823792888,Rural,Elementary,0.6737382302520118,1
60423005028,-0.9489484085964346,0.8744751930948103,Town,Elementary,0.5949474174796312,1
60423008796,-1.120902977288588,0.9973730490453794,Town,Elementary,0.6683337765620421,1
60426008797,-2.836563052487586,0.9720154612515962,Suburb,Elementary,0.917773853753612,1
60426008798,-2.556723862495945,0.9573641452220687,Suburb,Elementary,0.9375555306928349,1
60426010807,-0.9244395472120317,1.021487768444418,City,Elementary,0.6318788626442218,1
60429000387,-0.5648912657503447,0.9399437077394985,Suburb,Middle,0.5466299836442989,0
60429000388,-1.558118760104803,1.123434114001576,Suburb,Elementary,0.7935645467263024,1
60429010579,-0.5720158146108769,0.8109255466494499,Suburb,Elementary,0.6489369097314607,1
60429011012,-0.3352205471267196,1.007084763202656,Suburb,Elementary,0.5106795874198014,0
60429011013,-1.075290996202192,1.060426115802697,Suburb,Middle,0.6990610633446208,1
60429011219,-0.0134011731070425,0.8780455661220772,Suburb,Elementary,0.5889322664386369,1
60429011956,0.1664942974207504,1.055587872607877,Suburb,Elementary,0.3847585472142212,0
60429012345,-0.455649857273559,1.109883996153818,Suburb,Elementary,0.6216550083266024,1
60435000392,-0.5463436302391145,0.881874080104616,Rural,Elementary,0.5645043315528445,1
60438000393,-1.722152404510784,1.400879253900499,Suburb,Elementary,0.8434564571190738,1
60438000394,-1.878528595937192,1.085933367734261,City,Elementary,0.8174616400411903,1
60438007865,-1.556565106727898,1.426997702423057,City,Elementary,0.7193173208408494,1
60438011843,-1.808550886193563,0.8687553637012726,Suburb,Elementary,0.7798223718165568,1
60444000397,0.0537385848097562,0.9575941065050313,Suburb,Elementary,0.4179334032934853,0
60444000398,-1.536916952635881,0.992428606804224,Suburb,Elementary,0.8602799500388998,1
60444000400,-0.0450487356544125,0.9843922851917943,Suburb,Elementary,0.4491140082735312,0
60444000403,-1.098617087783356,0.7950650438702612,Suburb,Elementary,0.7873622321782056,1
60444000404,-1.712572161522761,1.101864937731562,Suburb,Elementary,0.8560937451410313,1
60444000410,-1.523730658028273,0.9734546915914173,Suburb,Elementary,0.8987195075320221,1
60444005836,-0.053024767177785,1.251622840424524,Suburb,Elementary,0.8276662798252258,1
60444007513,0.60767613565777,1.234207548841912,Suburb,Elementary,0.4788808539582481,0
60444008118,-1.862155937043037,1.027087197162726,Suburb,Elementary,0.8474054605315013,1
60444009115,-1.524308497912831,0.8062853142107322,Suburb,Elementary,0.8181266092209666,1
60450000412,-0.3651032118228166,1.004921736371716,Rural,Elementary,0.5193130979200932,0
60453000414,1.92432947412609,1.080037325957905,Suburb,Elementary,0.0415572252213048,0
60453000416,1.63658675656484,1.183838030076884,Suburb,Elementary,0.0590998992720383,0
60453000418,0.2526928462736242,1.181225367707331,Suburb,Elementary,0.251829299476839,0
60453000419,1.860075433876959,1.088909720577697,Suburb,Middle,0.0698113586788367,0
60453004019,1.01067234127476,1.404638479034436,Suburb,Elementary,0.0359726900198794,0
60453007417,2.293928419803348,1.065355395616174,City,Elementary,0.0364891363810479,0
60456000420,-1.201809441451217,1.364021396118127,Rural,Elementary,0.9029937041250924,1
60462000423,0.3773410218644297,1.414835131115822,Suburb,Middle,0.1895675034433309,0
60462000424,0.3547327562611695,1.119415351184827,Suburb,Elementary,0.2584218851407597,0
60462000427,-0.396360989075129,0.7087773770332605,Suburb,Elementary,0.4159773783027197,0
60462002832,1.368062709645232,1.232935891221002,Suburb,Elementary,0.0655979676216584,0
